Date,Open,High,Low,Close,Adj Close,Volume
17/09/21,757.15,761.04,750.00,759.49,759.49,28204200
20/09/21,734.56,742.00,718.62,730.17,730.17,24757700
21/09/21,734.79,744.74,730.44,739.38,739.38,16330700
22/09/21,743.53,753.67,739.12,751.94,751.94,15126300
23/09/21,755.00,758.20,747.92,753.64,753.64,11947500
24/09/21,745.89,774.80,744.56,774.39,774.39,21373000
27/09/21,773.12,799.00,769.31,791.36,791.36,28070700
28/09/21,787.20,795.64,766.18,777.56,777.56,25381400
29/09/21,779.80,793.50,770.68,781.31,781.31,20942900
30/09/21,781.00,789.13,775.00,775.48,775.48,17956000
01/10/21,778.40,780.78,763.59,775.22,775.22,17031400
04/10/21,796.50,806.97,776.12,781.53,781.53,30483300
05/10/21,784.80,797.31,774.20,780.59,780.59,18432600
06/10/21,776.20,786.66,773.22,782.75,782.75,14632800
07/10/21,785.46,805.00,783.38,793.61,793.61,19195800
08/10/21,796.21,796.38,780.91,785.49,785.49,16738600
11/10/21,787.65,801.24,785.50,791.94,791.94,14200300
12/10/21,800.93,812.32,796.57,805.72,805.72,22020000
13/10/21,810.47,815.41,805.78,811.08,811.08,14120100
14/10/21,815.49,820.25,813.35,818.32,818.32,12247200
15/10/21,823.74,843.21,822.35,843.03,843.03,18924600
18/10/21,851.79,875.26,851.47,870.11,870.11,24207200
19/10/21,877.53,877.95,862.51,864.27,864.27,17381100
20/10/21,865.35,869.49,857.38,865.80,865.80,14032100
21/10/21,856.00,900.00,855.50,894.00,894.00,31481500
22/10/21,895.50,910.00,890.96,909.68,909.68,22880800
25/10/21,950.53,1045.02,944.20,1024.86,1024.86,62852100
26/10/21,1024.69,1094.94,1001.44,1018.43,1018.43,62415000
27/10/21,1039.66,1070.88,1030.78,1037.86,1037.86,38526500
28/10/21,1068.31,1081.00,1054.20,1077.04,1077.04,27213200
29/10/21,1081.86,1115.21,1073.21,1114.00,1114.00,29918400
01/11/21,1145.00,1209.75,1118.66,1208.59,1208.59,56048700
02/11/21,1159.36,1208.59,1146.00,1172.00,1172.00,42737800
03/11/21,1177.33,1215.39,1152.62,1213.86,1213.86,34628500
04/11/21,1234.41,1243.49,1217.00,1229.91,1229.91,25397400
05/11/21,1228.00,1239.87,1208.00,1222.09,1222.09,21628800
08/11/21,1149.79,1197.00,1133.00,1162.94,1162.94,33445700
09/11/21,1173.60,1174.50,1011.52,1023.50,1023.50,59105800
10/11/21,1010.41,1078.10,987.31,1067.95,1067.95,42802700
11/11/21,1102.77,1104.97,1054.68,1063.51,1063.51,22396600
12/11/21,1047.50,1054.50,1019.20,1033.42,1033.42,25573100
15/11/21,1017.63,1031.98,978.60,1013.39,1013.39,34775600
16/11/21,1003.31,1057.20,1002.18,1054.73,1054.73,26542400
17/11/21,1063.51,1119.64,1055.50,1089.01,1089.01,31445400
18/11/21,1106.55,1112.00,1075.02,1096.38,1096.38,20898900
19/11/21,1098.87,1138.72,1092.70,1137.06,1137.06,21642300
22/11/21,1162.33,1201.95,1132.43,1156.87,1156.87,33072500
23/11/21,1167.51,1180.50,1062.70,1109.03,1109.03,36171700
